,F1,Precision,Recall,F2,AUC_ROC,AUC_PR
MVG,0.5161290322580645,1.0,0.34782608695652173,0.4,0.8857014791573286,0.7704439861539203
SVM,0.6153846153846154,0.75,0.5217391304347826,0.5555555555555556,0.8507395786642761,0.7315594361133984
IF,0.5833333333333334,0.56,0.6086956521739131,0.5982905982905983,0.8099506947557149,0.6795108238084124
AE,0.4666666666666667,1.0,0.30434782608695654,0.35353535353535354,0.8628417749887942,0.7434057587355978
