,Strategy
CAGR,0.3522142685579399
Annual_Vol,0.1827218604369935
Sharpe,1.9275978676858485
Sortino,2.0963402920877345
Max_DD,-0.12074706745887473
Calmar,2.916959193877737
Turnover_pa,3.9000000000000004
TC_total,0.0053999999999999986
N_switches,9.0
